<block:absentbydesign:fence_log_acacia>, Acacia Log Fence
<block:absentbydesign:slab_concrete_lime_double>, tile.slab_concrete_lime_double.name
<block:absentbydesign:slab_concrete_magenta>, Magenta Concrete Slab
<block:absentbydesign:slab_concrete_magenta_double>, tile.slab_concrete_magenta_double.name
<block:absentbydesign:slab_concrete_orange>, Orange Concrete Slab
<block:absentbydesign:slab_concrete_orange_double>, tile.slab_concrete_orange_double.name
<block:absentbydesign:slab_concrete_pink>, Pink Concrete Slab
<block:absentbydesign:slab_concrete_pink_double>, tile.slab_concrete_pink_double.name
<block:absentbydesign:slab_concrete_purple>, Purple Concrete Slab
<block:absentbydesign:slab_concrete_purple_double>, tile.slab_concrete_purple_double.name
<block:absentbydesign:slab_concrete_red>, Red Concrete Slab
<block:absentbydesign:slab_concrete_red_double>, tile.slab_concrete_red_double.name
<block:absentbydesign:slab_concrete_silver>, Light Gray ConcreteSlab
<block:absentbydesign:slab_concrete_silver_double>, tile.slab_concrete_silver_double.name
<block:absentbydesign:slab_concrete_white>, White Concrete Slab
<block:absentbydesign:slab_concrete_white_double>, tile.slab_concrete_white_double.name
<block:absentbydesign:slab_concrete_yellow>, Yellow Concrete Slab
<block:absentbydesign:slab_concrete_yellow_double>, tile.slab_concrete_yellow_double.name
<block:absentbydesign:slab_diorite>, Diorite Slab
<block:absentbydesign:slab_diorite_double>, tile.slab_diorite_double.name
<block:absentbydesign:slab_diorite_smooth>, Smooth Diorite Slab
<block:absentbydesign:slab_diorite_smooth_double>, tile.slab_diorite_smooth_double.name
<block:absentbydesign:slab_end_bricks>, Endstone Brick Slab
<block:absentbydesign:slab_end_bricks_double>, tile.slab_end_bricks_double.name
<block:absentbydesign:slab_end_stone>, Endstone Slab
<block:absentbydesign:slab_end_stone_double>, tile.slab_end_stone_double.name
<block:absentbydesign:slab_granite>, Granite Slab
<block:absentbydesign:slab_granite_double>, tile.slab_granite_double.name
<block:absentbydesign:slab_granite_smooth>, Smooth Granite Slab
<block:absentbydesign:slab_granite_smooth_double>, tile.slab_granite_smooth_double.name
<block:absentbydesign:slab_netherbrick_red>, Red Netherbrick Slab
<block:absentbydesign:slab_netherbrick_red_double>, tile.slab_netherbrick_red_double.name
<block:absentbydesign:slab_netherrack>, Netherrack Slab
<block:absentbydesign:slab_netherrack_double>, tile.slab_netherrack_double.name
<block:absentbydesign:slab_prismarine>, Prismarine Slab
<block:absentbydesign:slab_prismarine_bricks>, Prismarine Bricks Slab
<block:absentbydesign:slab_prismarine_bricks_double>, tile.slab_prismarine_bricks_double.name
<block:absentbydesign:slab_prismarine_dark>, Dark Prismarine Slab
<block:absentbydesign:slab_prismarine_dark_double>, tile.slab_prismarine_dark_double.name
<block:absentbydesign:slab_prismarine_double>, tile.slab_prismarine_double.name
<block:absentbydesign:slab_snow>, Snow Slab
<block:absentbydesign:slab_snow_double>, tile.slab_snow_double.name
<block:absentbydesign:slab_stone>, Stone Slab
<block:absentbydesign:slab_stone_double>, tile.slab_stone_double.name
<block:absentbydesign:stairs_andesite>, Andesite Stairs
<block:absentbydesign:stairs_andesite_smooth>, Smooth Andesite Stairs
<block:absentbydesign:stairs_bricks_cracked>, Bricks Cracked Stairs
<block:absentbydesign:stairs_bricks_mossy>, Bricks Mossy Stairs
<block:absentbydesign:stairs_coarse_dirt>, Coarse Dirt Stairs
<block:absentbydesign:stairs_cobble_moss>, Cobble Moss Stairs
<block:absentbydesign:stairs_concrete_black>, Black Concrete Stairs
<block:absentbydesign:stairs_concrete_blue>, Blue Concrete Stairs
<block:absentbydesign:stairs_concrete_brown>, Brown Concrete Stairs
<block:absentbydesign:stairs_concrete_cyan>, Cyan Concrete Stairs
<block:absentbydesign:stairs_concrete_gray>, Gray Concrete Stairs
<block:absentbydesign:stairs_concrete_green>, Green Concrete Stairs
<block:absentbydesign:stairs_concrete_light_blue>, Light Blue Concrete Stairs
<block:absentbydesign:stairs_concrete_lime>, Lime Concrete Stairs
<block:absentbydesign:stairs_concrete_magenta>, Magenta Concrete Stairs
<block:absentbydesign:stairs_concrete_orange>, Orange Concrete Stairs
<block:absentbydesign:stairs_concrete_pink>, Pink Concrete Stairs
<block:absentbydesign:stairs_concrete_purple>, Purple Concrete Stairs
<block:absentbydesign:stairs_concrete_red>, Red Concrete Stairs
<block:absentbydesign:stairs_concrete_silver>, Light Gray Concrete Stairs
<block:absentbydesign:stairs_concrete_white>, White Concrete Stairs
<block:absentbydesign:stairs_concrete_yellow>, Yellow Concrete Stairs
<block:absentbydesign:stairs_diorite>, Diorite Stairs
<block:absentbydesign:stairs_diorite_smooth>, Smooth Diorite Stairs
<block:absentbydesign:stairs_end_bricks>, Endstone Bricks Stairs
<block:absentbydesign:stairs_end_stone>, Endstone Stairs
<block:absentbydesign:stairs_granite>, Granite Stairs
<block:absentbydesign:stairs_granite_smooth>, Smooth Granite Stairs
<block:absentbydesign:stairs_netherbrick_red>, Red Netherbrick Stairs
<block:absentbydesign:stairs_netherrack>, Netherrack Stairs
<block:absentbydesign:stairs_prismarine>, Prismarine Stairs
<block:absentbydesign:stairs_prismarine_bricks>, Prismarine Bricks Stairs
<block:absentbydesign:stairs_prismarine_dark>, Prismarine Dark Stairs
<block:absentbydesign:stairs_snow>, Snow Stairs
<block:absentbydesign:stairs_stone>, Stone Stairs
<block:absentbydesign:wall_andesite>, Andesite Wall
<block:absentbydesign:wall_andesite_smooth>, Smooth Andesite Wall
<block:absentbydesign:wall_brick>, Brick Wall
<block:absentbydesign:wall_diorite>, Diorite Wall
<block:absentbydesign:wall_diorite_smooth>, Smooth Diorite Wall
<block:absentbydesign:wall_end_bricks>, Endstone Brick Wall
<block:absentbydesign:wall_end_stone>, Endstone Wall
<block:absentbydesign:wall_granite>, Granite Wall
<block:absentbydesign:wall_granite_smooth>, Smooth Granite Wall
<block:absentbydesign:wall_purpur>, Purpur Wall
<block:absentbydesign:wall_sandstone>, Sandstone Wall
<block:absentbydesign:wall_sandstone_red>, Red Sandstone Wall
<block:absentbydesign:wall_sandstone_red_smooth>, Smooth Red Sandstone Wall
<block:absentbydesign:wall_sandstone_smooth>, Smooth Sandstone Wall
<block:absentbydesign:wall_stone>, Stone Wall
<block:absentbydesign:wall_stone_slab>, Stone Slab Wall
<block:absentbydesign:wall_stonebrick>, Stonebrick Wall
<block:absentbydesign:wall_stonebrick_carved>, Carved Stonebrick Wall
<block:absentbydesign:wall_stonebrick_cracked>, Cracked Stonebrick Wall
<block:absentbydesign:wall_stonebrick_mossy>, Mossy Stonebrick Wall
<block:arcanearchives:brazier_of_hoarding>, Brazier of Hoarding
<block:arcanearchives:brazier_of_hoarding_fire>, tile.brazier_of_hoarding_fire.name
<block:arcanearchives:fake_air>, tile.fake_air.name
<block:arcanearchives:gemcutters_table>, Gem Cutter's Table
<block:arcanearchives:lectern_manifest>, Manifest Lectern
<block:arcanearchives:monitoring_crystal>, Monitoring Crystal
<block:arcanearchives:quartz_sliver>, Sliver of Light
<block:arcanearchives:radiant_chest>, Radiant Chest
<block:arcanearchives:radiant_crafting_table>, Radiant Crafting Table
<block:arcanearchives:radiant_lantern>, Radiant Lantern
<block:arcanearchives:radiant_resonator>, Radiant Resonator
<block:arcanearchives:radiant_tank>, Radiant Tank
<block:arcanearchives:radiant_trove>, Radiant Trove
<block:arcanearchives:raw_quartz_cluster>, Raw Quartz Cluster
<block:arcanearchives:storage_raw_quartz>, Raw Radiant Quartz Block
<block:arcanearchives:storage_shaped_quartz>, Shaped Radiant Quartz Block
<block:artisanautomation:automator>, Mechanical Artisan
<block:artisanautomation:automator_power_rf>, Artisanal Power Converter (RF)
<block:artisanworkstumps:log_basin>, Artisan's Log Basin
<block:artisanworkstumps:stone_basin>, Artisan's Stone Basin
<block:artisanworkstumps:workstump_basic>, Basic Workstump
<block:artisanworkstumps:workstump_blacksmith>, Blacksmith's Workstump
<block:artisanworkstumps:workstump_carpenter>, Carpenter's Workstump
<block:artisanworkstumps:workstump_chef>, Chef's Workstump
<block:artisanworkstumps:workstump_chemist>, Chemist's Workstump
<block:artisanworkstumps:workstump_designer>, Designer's Workstump
<block:artisanworkstumps:workstump_engineer>, Engineer's Workstump
<block:artisanworkstumps:workstump_farmer>, Farmer's Workstump
<block:artisanworkstumps:workstump_jeweler>, Jeweler's Workstump
<block:artisanworkstumps:workstump_mage>, Mage's Workstump
<block:artisanworkstumps:workstump_mason>, Mason's Workstump
<block:artisanworkstumps:workstump_potter>, Potter's Workstump
<block:artisanworkstumps:workstump_scribe>, Scribe's Workstump
<block:artisanworkstumps:workstump_tailor>, Tailor's Workstump
<block:artisanworkstumps:workstump_tanner>, Tanner's Workstump
<block:artisanworktables:mechanical_toolbox>, Mechanical Toolbox
<block:artisanworktables:tab_icon>, tile.artisanworktables.tab_icon.name
<block:artisanworktables:toolbox>, Toolbox
<block:artisanworktables:workshop>, tile.artisanworktables.workshop.name
<block:artisanworktables:workstation>, tile.artisanworktables.workstation.name
<block:artisanworktables:worktable>, tile.artisanworktables.worktable.name
<block:astralsorcery:blockaltar>, Altar
<block:astralsorcery:blockattunementaltar>, Attunement Altar
<block:astralsorcery:blockattunementrelay>, Spectral Relay
<block:astralsorcery:blockblackmarble>, Sooty Marble
<block:astralsorcery:blockbore>, Evershifting Fountain
<block:astralsorcery:blockborehead>, tile.blockborehead.name
<block:astralsorcery:blockcelestialcollectorcrystal>, Floating Crystal
<block:astralsorcery:blockcelestialcrystals>, Celestial Crystal Cluster
<block:astralsorcery:blockcelestialgateway>, Celestial Gateway
<block:astralsorcery:blockchalice>, Containment Chalice
<block:astralsorcery:blockcollectorcrystal>, Floating Crystal
<block:astralsorcery:blockcustomflower>, Faint Amaranth
<block:astralsorcery:blockcustomore>, Rock Crystal Ore
<block:astralsorcery:blockcustomsandore>, Aquamarine Shale
<block:astralsorcery:blockfaketree>, 
<block:astralsorcery:blockflarelight>, Volatile Flare
<block:astralsorcery:blockgemcrystals>, Gem Crystal Cluster
<block:astralsorcery:blockinfusedwood>, Infused Wood
<block:astralsorcery:blocklens>, Lens
<block:astralsorcery:blockmachine>, Telescope
<block:astralsorcery:blockmapdrawingtable>, Stellar Refraction Table
<block:astralsorcery:blockmarble>, Marble
<block:astralsorcery:blockmarbledoubleslab>, tile.blockmarbledoubleslab.name
<block:astralsorcery:blockmarbleslab>, tile.blockmarbleslab.name
<block:astralsorcery:blockmarblestairs>, Marble Stairs
<block:astralsorcery:blockobservatory>, Observatory
<block:astralsorcery:blockportalnode>, 
<block:astralsorcery:blockprism>, PrismLens
<block:astralsorcery:blockrituallink>, Ritual Anchor
<block:astralsorcery:blockritualpedestal>, Ritual Pedestal
<block:astralsorcery:blockstarlightinfuser>, Starlight Infuser
<block:astralsorcery:blockstructural>, tile.blockstructural.name
<block:astralsorcery:blocktranslucentblock>, Translucent Block
<block:astralsorcery:blocktreebeacon>, Tree Beacon
<block:astralsorcery:blockvanishing>, tile.blockvanishing.name
<block:astralsorcery:blockwell>, Lightwell
<block:astralsorcery:blockworldilluminator>, Cave Illuminator
<block:astralsorcery:fluidblockliquidstarlight>, Liquid Starlight
<block:betteranimalsplus:bearhead>, tile.null.name
<block:betteranimalsplus:bearhead_1>, Bear Head
<block:betteranimalsplus:bearhead_2>, Bear Head
<block:betteranimalsplus:bearhead_3>, Bear Head
<block:betteranimalsplus:boarhead>, tile.null.name
<block:betteranimalsplus:boarhead_1>, Boar Head
<block:betteranimalsplus:boarhead_2>, Boar Head
<block:betteranimalsplus:boarhead_3>, Boar Head
<block:betteranimalsplus:boarhead_4>, Boar Head
<block:betteranimalsplus:coyotehead>, tile.null.name
<block:betteranimalsplus:coyotehead_1>, Coyote Head
<block:betteranimalsplus:deerhead>, tile.null.name
<block:betteranimalsplus:deerhead_1>, Deer Head
<block:betteranimalsplus:deerhead_2>, Deer Head
<block:betteranimalsplus:deerhead_3>, Deer Head
<block:betteranimalsplus:deerhead_4>, Deer Head
<block:betteranimalsplus:foxhead>, tile.null.name
<block:betteranimalsplus:foxhead_1>, Fox Head
<block:betteranimalsplus:foxhead_2>, Fox Head
<block:betteranimalsplus:foxhead_3>, Fox Head
<block:betteranimalsplus:foxhead_4>, Fox Head
<block:betteranimalsplus:handoffate>, Hand Of Fate
<block:betteranimalsplus:hirschgeistskull>, tile.null.name
<block:betteranimalsplus:hirschgeistskull_1>, Hirschgeist Skull
<block:betteranimalsplus:moosehead>, tile.null.name
<block:betteranimalsplus:moosehead_1>, Moose Head
<block:betteranimalsplus:moosehead_2>, Moose Head
<block:betteranimalsplus:moosehead_3>, Moose Head
<block:betteranimalsplus:moosehead_4>, Moose Head
<block:betteranimalsplus:reindeerhead>, tile.null.name
<block:betteranimalsplus:reindeerhead_1>, Reindeer Head
<block:betteranimalsplus:reindeerhead_2>, Reindeer Head
<block:betteranimalsplus:reindeerhead_3>, Reindeer Head
<block:betteranimalsplus:reindeerhead_4>, Reindeer Head
<block:betteranimalsplus:trillium>, Trillium
<block:betteranimalsplus:turkey_cooked>, Cooked Turkey
<block:betteranimalsplus:turkey_eaten_cooked>, Cooked Half Eaten Turkey
<block:betteranimalsplus:turkey_eaten_raw>, Raw Half Eaten Turkey
<block:betteranimalsplus:turkey_raw>, Raw Turkey
<block:betteranimalsplus:wolfhead>, tile.null.name
<block:betteranimalsplus:wolfhead_1>, Wolf Head
<block:betteranimalsplus:wolfhead_2>, Wolf Head
<block:betteranimalsplus:wolfhead_3>, Wolf Head
<block:betteranimalsplus:wolfhead_4>, Wolf Head
<block:betteranimalsplus:wolfhead_5>, Wolf Head
<block:betteranimalsplus:wolfhead_6>, Wolf Head
<block:betternether:agave>, Agave
<block:betternether:barrel_cactus>, Barrel Cactus
<block:betternether:black_apple>, tile.black_apple.name
<block:betternether:black_apple_seed>, Black Apple Seed
<block:betternether:black_bush>, Black Bush
<block:betternether:block_eyeball>, Eyeball Block
<block:betternether:block_eyeball_small>, Small Eyeball Block
<block:betternether:bone_block>, Bone Block
<block:betternether:bone_button>, Bone Button
<block:betternether:bone_cincinnasite_door>, item.bone_cincinnasite_door.name
<block:betternether:bone_mushroom>, Bone Mushroom Spores
<block:betternether:bone_plate>, Bone Pressure Plate
<block:betternether:bone_reed_door>, item.bone_reed_door.name
<block:betternether:bone_slab_double>, tile.bone_slab_double.name
<block:betternether:bone_slab_half>, Bone Slab
<block:betternether:bone_stairs>, Bone Stairs
<block:betternether:bone_tile>, Bone Tile
<block:betternether:bone_wall>, Bone Wall
<block:betternether:brown_large_mushroom>, tile.brown_large_mushroom.name
<block:betternether:chest_of_drawers>, tile.chest_of_drawers.name
<block:betternether:cincinnasite_bars>, Cincinnasite Bars
<block:betternether:cincinnasite_block>, Cincinnasite Block
<block:betternether:cincinnasite_brick_plate>, Cincinnasite Brick Plate
<block:betternether:cincinnasite_bricks>, Cincinnasite Bricks
<block:betternether:cincinnasite_bricks_pillar>, Cincinnasite Brick Pillar
<block:betternether:cincinnasite_button>, Cincinnasite Button
<block:betternether:cincinnasite_carved>, Cincinnasite Carved
<block:betternether:cincinnasite_fire_bowl>, Cincinnasite Fire Bowl
<block:betternether:cincinnasite_forge>, Cincinnasite Forge
<block:betternether:cincinnasite_forged>, Forged Cincinnasite Block
<block:betternether:cincinnasite_frame>, Cincinnasite Frame
<block:betternether:cincinnasite_lantern>, Cincinnasite Lantern
<block:betternether:cincinnasite_ore>, Cincinnasite Ore
<block:betternether:cincinnasite_pedestal>, Cincinnasite Pedestal
<block:betternether:cincinnasite_pillar>, Cincinnasite Pillar
<block:betternether:cincinnasite_plate>, Cincinnasite Plate
<block:betternether:cincinnasite_pot>, Cincinnasite Pot
<block:betternether:cincinnasite_slab_double>, tile.cincinnasite_slab_double.name
<block:betternether:cincinnasite_slab_half>, Cincinnasite Slab
<block:betternether:cincinnasite_stairs>, Cincinnasite Stairs
<block:betternether:cincinnasite_tile_large>, Large Cincinnasite Tile
<block:betternether:cincinnasite_tile_small>, Small Cincinnasite Tile
<block:betternether:cincinnasite_wall>, Cincinnasite Wall
<block:betternether:egg_plant>, Egg Plant
<block:betternether:eye_seed>, Eye Seed
<block:betternether:eye_vine>, tile.eye_vine.name
<block:betternether:gray_mold>, Gray Mold
<block:betternether:ink_bush>, Ink Bush
<block:betternether:ink_bush_seed>, Ink Bush Seed
<block:betternether:lucis_mushroom>, tile.lucis_mushroom.name
<block:betternether:lucis_spore>, Lucis Spore
<block:betternether:magma_flower>, Magma flower seed
<block:betternether:nether_brick_tile_large>, Large Nether Brick Tile
<block:betternether:nether_brick_tile_slab_double>, tile.nether_brick_tile_slab_double.name
<block:betternether:nether_brick_tile_slab_half>, Small Nether Brick Tile Slab
<block:betternether:nether_brick_tile_small>, Small Nether Brick Tile
<block:betternether:nether_brick_tile_stairs>, Small Nether Brick Tile Stairs
<block:betternether:nether_brick_wall>, Nether Brick Wall
<block:betternether:nether_cactus>, Nether Cactus
<block:betternether:nether_grass>, Nether Grass
<block:betternether:nether_mycelium>, Nether Mycelium
<block:betternether:nether_reed>, Nether Reed
<block:betternether:netherrack_furnace>, Netherrack Furnace
<block:betternether:netherrack_moss>, Nether Moss
<block:betternether:orange_mushroom>, Orange Mushroom
<block:betternether:pig_statue_01>, Respawner Statue
<block:betternether:potted_plant_1>, Potted Plant
<block:betternether:quartz_glass>, Quartz Glass
<block:betternether:quartz_glass_framed>, Framed Quartz Glass
<block:betternether:quartz_glass_framed_pane>, Framed Quartz Glass Pane
<block:betternether:quartz_glass_pane>, Quartz Glass Pane
<block:betternether:quartz_stained_glass>, tile.quartz_stained_glass.name
<block:betternether:quartz_stained_glass_framed>, tile.quartz_stained_glass_framed.name
<block:betternether:red_large_mushroom>, tile.red_large_mushroom.name
<block:betternether:red_mold>, Red Mold
<block:betternether:reeds_block>, Reeds Block
<block:betternether:reeds_button>, Reeds Button
<block:betternether:reeds_fence>, Reeds Fence
<block:betternether:reeds_gate>, Reeds Gate
<block:betternether:reeds_ladder>, Reeds Ladder
<block:betternether:reeds_plate>, Reeds Pressure Plate
<block:betternether:reeds_slab_double>, tile.reeds_slab_double.name
<block:betternether:reeds_slab_half>, Reeds Slab
<block:betternether:reeds_stairs>, Reeds Stairs
<block:betternether:smoker>, Smoker
<block:betternether:stalagnate_bark>, Stalagnate Bark
<block:betternether:stalagnate_bottom>, tile.stalagnate_bottom.name
<block:betternether:stalagnate_bowl_placed>, Stalagnate Bowl
<block:betternether:stalagnate_middle>, Stalagnate
<block:betternether:stalagnate_planks>, Stalagnate Planks
<block:betternether:stalagnate_planks_button>, Stalagnate Button
<block:betternether:stalagnate_planks_fence>, Stalagnate Fence
<block:betternether:stalagnate_planks_gate>, Stalagnate Gate
<block:betternether:stalagnate_planks_plate>, Stalagnate Pressure Plate
<block:betternether:stalagnate_planks_slab_double>, tile.stalagnate_planks_slab_double.name
<block:betternether:stalagnate_planks_slab_half>, Stalagnate Slab
<block:betternether:stalagnate_planks_stairs>, Stalagnate Stairs
<block:betternether:stalagnate_seed>, Stalagnate Seed
<block:betternether:stalagnate_seed_bottom>, Stalagnate Seed
<block:betternether:stalagnate_stem>, Stalagnate
<block:betternether:stalagnate_top>, Stalagnate
<block:betternether:wart_seed>, Wart Seed
<block:bibliocraft:armorstand>, tile.BiblioCraft:ArmorStand.name
<block:bibliocraft:bell>, Desk Bell
<block:bibliocraft:bookcase>, tile.BiblioCraft:Bookcase.name
<block:bibliocraft:bookcasecreative>, tile.BiblioCraft:BookcaseCreative.name
<block:bibliocraft:case>, tile.BiblioCraft:Case.name
<block:bibliocraft:clipboard>, tile.BiblioCraft:Clipboard.name
<block:bibliocraft:clock>, tile.BiblioCraft:Clock.name
<block:bibliocraft:cookiejar>, Cookie Jar
<block:bibliocraft:desk>, tile.BiblioCraft:Desk.name
<block:bibliocraft:dinnerplate>, Dinner Plate
<block:bibliocraft:discrack>, Disc Rack
<block:bibliocraft:fancysign>, tile.BiblioCraft:FancySign.name
<block:bibliocraft:fancyworkbench>, tile.BiblioCraft:FancyWorkbench.name
<block:bibliocraft:framedchest>, tile.BiblioCraft:FramedChest.name
<block:bibliocraft:furniturepaneler>, tile.BiblioCraft:FurniturePaneler.name
<block:bibliocraft:label>, tile.BiblioCraft:Label.name
<block:bibliocraft:lampgold>, tile.BiblioCraft:LampGold.name
<block:bibliocraft:lampiron>, tile.BiblioCraft:LampIron.name
<block:bibliocraft:lanterngold>, tile.BiblioCraft:LanternGold.name
<block:bibliocraft:lanterniron>, tile.BiblioCraft:LanternIron.name
<block:bibliocraft:mapframe>, tile.BiblioCraft:MapFrame.name
<block:bibliocraft:markerpole>, tile.BiblioCraft:MarkerPole.name
<block:bibliocraft:paintingframeborderless>, tile.BiblioCraft:PaintingFrameBorderless.name
<block:bibliocraft:paintingframefancy>, tile.BiblioCraft:PaintingFrameFancy.name
<block:bibliocraft:paintingframeflat>, tile.BiblioCraft:PaintingFrameFlat.name
<block:bibliocraft:paintingframemiddle>, tile.BiblioCraft:PaintingFrameMiddle.name
<block:bibliocraft:paintingframesimple>, tile.BiblioCraft:PaintingFrameSimple.name
<block:bibliocraft:paintingpress>, Painting Press
<block:bibliocraft:potionshelf>, tile.BiblioCraft:PotionShelf.name
<block:bibliocraft:printingpress>, Printing Press
<block:bibliocraft:seat>, tile.BiblioCraft:Seat.name
<block:bibliocraft:shelf>, tile.BiblioCraft:Shelf.name
<block:bibliocraft:swordpedestal>, tile.BiblioCraft:SwordPedestal.name
<block:bibliocraft:table>, tile.BiblioCraft:Table.name
<block:bibliocraft:toolrack>, tile.BiblioCraft:ToolRack.name
<block:bibliocraft:typesettingtable>, Typesetting Table
<block:bibliocraft:typewriter>, tile.BiblioCraft:Typewriter.name
<block:biomesoplenty:ash_block>, Ash Block
<block:biomesoplenty:bamboo>, Bamboo
<block:biomesoplenty:bamboo_thatching>, Bamboo Thatching
<block:biomesoplenty:biome_block>, Biome Essence Ore
<block:biomesoplenty:blood>, tile.null.name
<block:biomesoplenty:blue_fire>, Blue Fire
<block:biomesoplenty:bramble_plant>, Bramble
<block:biomesoplenty:cherry_door_block>, item.cherry_door_block.name
<block:biomesoplenty:cherry_fence>, Cherry Fence
<block:biomesoplenty:cherry_fence_gate>, Cherry Fence Gate
<block:biomesoplenty:cherry_stairs>, Cherry Wood Stairs
<block:biomesoplenty:coral>, tile.coral.name
<block:biomesoplenty:crystal>, Celestial Crystal
<block:biomesoplenty:dirt>, Dirt
<block:biomesoplenty:double_other_slab>, tile.double_other_slab.name
<block:biomesoplenty:double_plant>, tile.double_plant.name
<block:biomesoplenty:double_wood_slab_0>, tile.double_wood_slab_0.name
<block:biomesoplenty:double_wood_slab_1>, tile.double_wood_slab_1.name
<block:biomesoplenty:dried_sand>, Dried Sand
<block:biomesoplenty:ebony_door_block>, item.ebony_door_block.name
<block:biomesoplenty:ebony_fence>, Ebony Fence
<block:biomesoplenty:ebony_fence_gate>, Ebony Fence Gate
<block:biomesoplenty:ebony_stairs>, Ebony Wood Stairs
<block:biomesoplenty:ethereal_door_block>, item.ethereal_door_block.name
<block:biomesoplenty:ethereal_fence>, Ethereal Fence
<block:biomesoplenty:ethereal_fence_gate>, Ethereal Fence Gate
<block:biomesoplenty:ethereal_stairs>, Ethereal Wood Stairs
<block:biomesoplenty:eucalyptus_door_block>, item.eucalyptus_door_block.name
<block:biomesoplenty:eucalyptus_fence>, Eucalyptus Fence
<block:biomesoplenty:eucalyptus_fence_gate>, Eucalyptus Fence Gate
<block:biomesoplenty:eucalyptus_stairs>, Eucalyptus Wood Stairs
<block:biomesoplenty:farmland_0>, tile.farmland_0.name
<block:biomesoplenty:farmland_1>, tile.farmland_1.name
<block:biomesoplenty:fir_door_block>, item.fir_door_block.name
<block:biomesoplenty:fir_fence>, Fir Fence
<block:biomesoplenty:fir_fence_gate>, Fir Fence Gate
<block:biomesoplenty:fir_stairs>, Fir Wood Stairs
<block:biomesoplenty:flesh>, Flesh
<block:biomesoplenty:flower_0>, tile.flower_0.name
<block:biomesoplenty:flower_1>, tile.flower_1.name
<block:biomesoplenty:gem_block>, tile.gem_block.name
<block:biomesoplenty:gem_ore>, tile.gem_ore.name
<block:biomesoplenty:grass>, Grass Block
<block:biomesoplenty:grass_path>, tile.grass_path.name
<block:biomesoplenty:hard_ice>, Hardened Ice
<block:biomesoplenty:hellbark_door_block>, item.hellbark_door_block.name
<block:biomesoplenty:hellbark_fence>, Hellbark Fence
<block:biomesoplenty:hellbark_fence_gate>, Hellbark Fence Gate
<block:biomesoplenty:hellbark_stairs>, Hellbark Wood Stairs
<block:biomesoplenty:hive>, tile.hive.name
<block:biomesoplenty:honey>, tile.null.name
<block:biomesoplenty:honey_block>, Honey Block
<block:biomesoplenty:hot_spring_water>, tile.null.name
<block:biomesoplenty:ivy>, Ivy
<block:biomesoplenty:jacaranda_door_block>, item.jacaranda_door_block.name
<block:biomesoplenty:jacaranda_fence>, Jacaranda Fence
<block:biomesoplenty:jacaranda_fence_gate>, Jacaranda Fence Gate
<block:biomesoplenty:jacaranda_stairs>, Jacaranda Wood Stairs
<block:biomesoplenty:leaves_0>, tile.leaves_0.name
<block:biomesoplenty:leaves_1>, tile.leaves_1.name
<block:biomesoplenty:leaves_2>, tile.leaves_2.name
<block:biomesoplenty:leaves_3>, tile.leaves_3.name
<block:biomesoplenty:leaves_4>, tile.leaves_4.name
